Mode,Time
Baseline Full Precision,19.591859579086304
Baseline Full Precision,19.78113555908203
AMP without Fusion,11.782321691513062
AMP without Fusion,11.823830366134644
AMP without Fusion,11.788922548294067
AMP with Fusion,8.003231525421143
AMP with Fusion,8.033871173858643
AMP with Fusion,8.054181814193726
